The Hitchhikers Guide to the Galaxy,Douglas Adams,20.00,1,
Non-Stop,Brian W Aldiss,anthology,1,boxed,2,children's,3,children's fiction,1,children's literature,1,collection,1,el fic,1,fiction,3,hardcover,1,helen,1,humor,1,kathryn,1,m,1,needs story details,1,needs tags,1,needs cover,1,new zealand,1,nonsense,1,peoms,1,poetry,2,quentin blake,1,shelved under 'm',1,short stories,1,st box 7,1,unread (fred),1,
The Amazing Adventures of Kavalier and Clay,Michael Chabon,20th century,79,american,210,american literature,132,comic books,298,comics,519,contemporary,66,contemporary fiction,86,fiction,2,golem,70,historical fiction,285,holocaust,115,homosexuality,76,jewish,192,jews,76,judaism,89,literature,142,magic,59,new york,302,new york city,160,novel,318,own,83,pulitzer,205,pulitzer prize,241,pulitzer prize winner,64,read,200,superheroes,138,to read,174,unread,108,usa,80,wwii,366,
The Man who was Thursday,GK Chesterton,
Childhood's End,Arthur C Clarke,book club,1,
Jonathan Strange & Mr Norrell,Susanna Clarke,19th century,241,21st century,86,alternate history,471,british,208,england,568,english,97,faerie,182,fairies,173,fantasy,3,fiction,2,hardcover,97,historical,269,historical fantasy,153,historical fiction,518,history,70,hugo award,71,literature,86,london,109,magic,1,magicians,322,napoleonic wars,156,novel,361,own,115,read,256,science fiction,102,sff,139,to read,285,unread,261,victorian,90,wizards,89,
Hello Summer, Goodbye,Michael G Coney,science fiction,1,
Girlfriend in a Coma,Douglas Coupland,1990s,7,20th century,22,american,10,apocalypse,36,canada,32,canadian,67,canadian author,8,canadian fiction,10,canadian literature,23,coma,26,contemporary,17,contemporary fiction,18,coupland,16,death,10,end of the world,9,fiction,384,generation x,12,hardcover,7,literature,7,novel,57,own,17,pop culture,8,postmodern,16,read,51,relationships,9,roman,10,science fiction,26,to read,21,unread,15,vancouver,18,
House of Leaves,Mark Danielewski,1001,28,21st century,37,american,74,american literature,54,contemporary fiction,28,experimental,170,experimental fiction,59,fantasy,101,favorite,24,fiction,933,haunted house,40,horror,642,house,25,literature,64,metafiction,106,mystery,61,novel,144,own,50,postmodern,149,postmodernism,53,read,117,science fiction,36,signed,25,supernatural,29,surreal,31,suspense,40,thriller,34,to read,129,unread,84,weird,24,
Pig Tales,Marie Darrieussecq,
The Einstein Intersection,Samuel R Delaney,,4,20th century,11,aliens,9,american,11,american literature,6,delany,8,easton press,12,ebook,4,fantasy,13,far future,5,fiction,103,hugo nominee,7,mmpb,9,myth,5,mythology,11,nebula,14,nebula award,13,nebula winner,15,new wave,11,novel,33,paperback,7,read,13,samuel r. delany,8,science fiction,257,sf,99,sff,22,signed,6,speculative fiction,7,to read,11,unread,15,
Do Androids Dream of Electric Sheep?,Philip K Dick,blond,1,boom! studios,1,brett weldele,1,do androids dream of electric sheep,1,graeme mcmillan,1,philip k. dick,1,richard starkings,1,tony parker,1,
The Man in the High Castle,Philip K Dick,20th century,53,alternate history,537,alternate reality,32,america,25,american,50,american literature,43,dystopia,99,ebook,33,fantasy,27,fiction,618,hugo,29,hugo award,36,hugo winner,40,i ching,45,japan,42,literature,25,nazis,41,novel,138,paperback,25,philip k. dick,61,pkd,50,read,92,science fiction,1,sf,272,sff,56,speculative fiction,44,to read,52,unread,37,usa,40,wwii,139,
Camp Concentration,Thomas M Disch,1968,3,20th century,4,alternate history,6,american,4,american literature,3,dystopia,22,dystopian,4,fiction,81,human experimentation,6,intelligence,8,literature,3,main sequence,2,mmpb,3,new wave,3,novel,29,paperback,6,poetry,5,political fiction,2,post apocalyptic,5,prison,5,prisoners,4,read,13,science fiction,173,sf,68,sff,13,speculative fiction,10,thomas m. disch,5,to read,9,unread,10,war,6,
Foucault's Pendulum,Umberto Eco,1001,55,1001 books,49,20th century,138,conspiracy,288,conspiracy theory,89,eco,75,fantasy,49,fiction,1,historical fiction,163,history,96,italian,265,italian literature,243,italy,225,knights templar,241,literature,263,mystery,324,novel,343,occult,169,own,51,philosophy,71,read,116,religion,102,roman,102,secret societies,93,semiotics,53,thriller,95,to read,98,translation,89,umberto eco,64,unread,121,
Under the Skin,Michel Faber,1001,21,1001 books,21,1001 books to read before you die,7,2008,6,21st century,8,aliens,17,book club,4,british,11,british literature,8,contemporary,5,dutch,6,english literature,5,fantasy,7,fiction,173,horror,37,library,5,literature,5,novel,27,own,7,read,15,science fiction,95,scotland,38,scottish,14,sf,5,suspense,5,thriller,15,to read,31,uk,5,unread,13,wishlist,6,
The Magus,John Fowles,1001,28,1001 books,23,20th century,87,20th century literature,14,british,53,british fiction,18,british literature,39,classic,23,classics,12,england,15,english,29,english literature,35,fantasy,35,favorite,10,fiction,624,greece,112,island,11,literary fiction,19,literature,80,mystery,38,novel,140,occult,12,own,21,paperback,13,psychological,11,psychological fiction,20,psychology,28,read,50,to read,55,unread,40,
American Gods,Neil Gaiman,america,287,american,91,ebook,101,fantasy,3,fiction,2,folklore,161,gaiman,280,gods,542,horror,104,hugo award,80,magic,118,magical realism,107,modern fantasy,133,myth,102,mythology,1,neil gaiman,213,novel,323,own,120,paperback,86,read,418,religion,247,science fiction,421,sf,113,sff,188,signed,140,speculative fiction,100,to read,211,unread,110,urban fantasy,496,usa,99,
Red Shift,Alan Garner,20th century,5,britain,4,british,6,cheshire,5,children,3,children's,20,children's fiction,12,children's literature,10,england,6,english literature,5,fantasy,79,fiction,80,historical,5,historical fiction,5,literature,7,myth,3,novel,16,nyrb,11,nyrb classics,7,read,9,science fiction,21,sf,6,sff,9,speculative,4,speculative fiction,4,tam lin,7,time travel,8,to read,10,wishlist,5,young adult,20,
Neuromancer,William Gibson,20th century,67,american,55,artificial intelligence,85,classic,74,computers,79,cyberpunk,1,cyberspace,125,dystopia,111,ebook,48,fiction,1,future,53,gibson,69,hugo award,73,hugo winner,56,literature,51,nebula award,61,novel,221,own,71,paperback,76,read,250,science fiction,2,sf,428,sff,122,speculative fiction,76,sprawl trilogy,64,technology,70,to read,92,unread,80,virtual reality,110,william gibson,80,
Herland,Charlotte Perkins Gilman,19th century,20,20th century,13,american,31,american literature,31,classic,27,classics,23,dystopia,21,ebook,12,fantasy,35,feminism,141,feminist,47,feminist utopia,10,fiction,288,gender,13,gender studies,12,literature,28,novel,49,own,11,philosophy,8,read,22,science fiction,95,sf,15,speculative fiction,12,to read,18,unread,14,utopia,138,utopian %26 dystopian literature,15,women,61,women's literature,10,women's studies,23,
Lord of the Flies,William Golding,1001,112,1001 books,102,20th century,263,adventure,249,allegory,127,boys,140,british,228,british literature,219,children,149,classic,982,classic literature,84,classics,630,coming of age,104,dystopia,458,english,112,english literature,178,fiction,2,high school,84,human nature,119,island,150,literature,491,nobel prize,84,novel,446,own,93,read,449,school,91,society,94,survival,389,to read,108,young adult,300,
The Forever War,Joe Haldeman,aliens,43,classic,31,ebook,33,fiction,410,hugo,36,hugo award,43,hugo winner,58,military,93,military sf,85,nebula,32,nebula award,41,nebula winner,38,novel,69,own,29,paperback,31,read,106,relativity,32,science fiction,1,sf,275,sf masterworks,50,sff,76,signed,25,space,23,space travel,27,speculative fiction,25,time travel,34,to read,40,unread,30,war,173,zeitdilatation,31,
Light,M John Harrison,2002,5,21st century,5,aliens,11,british,8,english,5,fantasy,8,far future,8,fiction,128,harrison,6,mmpb,4,new weird,5,novel,36,own,5,paperback,10,quantum,6,quantum physics,11,read,25,science fiction,328,serial killer,9,sf,84,sff,20,signed,8,space,14,space opera,23,speculative fiction,17,tiptree award,14,tiptree winner,5,to read,13,unread,20,weird,4,
The House of the Seven Gables,Nathaniel Hawthorne,fiction,1,lb,1,novel,1,
Stranger in a Strange Land,Robert A Heinlein,vinyl single,1,
Dune,Frank L Herbert,20th century,2,american literature,3,classic,3,dune,13,ecology,2,english,2,fantasy,8,favorite,3,favorites,2,fiction,33,hardcover,3,herbert,2,literature,2,nebula,2,novel,5,omnibus,3,own,2,philosophy,2,politics,2,read,5,religion,4,reread,3,science,2,science fiction,83,series,2,sf,10,sff,4,shelf,2,trilogy,2,unread,2,
The Glass Bead Game,Herman Hesse,1001,27,1001 books,25,20th century,54,20th century literature,12,classic,50,classics,34,fantasy,23,fiction,619,german,146,german fiction,23,german literature,165,germany,67,hermann hesse,26,hesse,53,literary fiction,13,literature,157,narrativa,11,nobel,19,nobel prize,40,novel,132,own,17,paperback,16,philosophy,86,read,43,roman,41,science fiction,32,to read,44,translation,31,unread,55,utopia,25,
Riddley Walker,Russell Hoban,20th century,18,american,13,american literature,12,apocalypse,20,apocalyptic,14,british,8,dialect,9,dystopia,58,dystopian,10,england,24,fantasy,21,fiction,300,future,11,language,23,literature,24,novel,67,nuclear war,10,owned,7,post apocalypse,25,post apocalyptic,96,post apocalyptic fiction,12,punch and judy,14,read,23,russell hoban,10,science fiction,189,sf,55,sff,9,speculative fiction,13,to read,29,unread,18,
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1001,15,1001 books,17,18th century,13,19th century,61,british,24,british literature,12,calvinism,12,classic,22,classic fiction,9,classics,35,devil,10,doppelgangers,9,ebook,9,english literature,23,everyman's library,11,fiction,204,folio society,11,gothic,52,horror,16,literature,37,murder,9,novel,62,nyrb,15,read,13,religion,33,scotland,54,scottish,41,scottish literature,30,to read,27,unread,18,
Atomised,Michel Houellebecq,1001,28,1001 books,23,1990s,9,20th century,34,belletristik,10,brothers,16,contemporary,17,existentialism,20,fiction,404,france,102,french,156,french fiction,29,french literature,109,houellebecq,12,literary fiction,10,literature,70,narrativa,9,nihilism,11,novel,116,philosophy,27,read,47,roman,63,science,23,science fiction,15,sex,36,sexuality,27,to read,28,translated,18,translation,27,unread,20,
Brave New World,Aldous Huxley,20th century,20,20th century literature,8,aldous huxley,11,british,20,british literature,17,classic,50,classics,34,dystopia,116,dystopian,21,english literature,18,fiction,250,finished,8,future,17,literature,67,non fiction,11,novel,49,own,8,paperback,8,philosophy,9,politics,15,read,22,science fiction,158,sf,14,sff,9,social commentary,10,speculative fiction,8,to read,11,totalitarianism,14,unread,10,utopia,11,
The Unconsoled,Kazuo Ishiguro,1001,30,1001 books,25,20th century,40,british,44,british fiction,11,british literature,20,contemporary,11,contemporary fiction,18,dreams,11,england,18,english,19,english literature,30,europe,12,fiction,373,first edition,10,japan,17,japanese,19,literary fiction,9,literature,43,memory,10,music,27,novel,84,own,9,read,13,surreal,23,surrealism,18,to read,49,uk,10,unread,28,wishlist,10,
The Haunting of Hill House,Shirley Jackson,
The Turn of the Screw,Henry James,1001,27,1001 books,34,19th century,109,american,50,american literature,105,classic,139,classics,121,ebook,38,england,25,english,21,english literature,25,fantasy,21,fiction,483,ghost stories,62,ghosts,118,gothic,93,governess,28,henry james,26,horror,168,literature,99,mystery,43,novel,81,novella,38,read,46,short stories,23,supernatural,25,suspense,29,to read,40,unread,33,victorian,28,
The Children of Men,PD James,2007,15,20th century,16,apocalypse,35,apocalyptic,17,british,68,crime,19,dystopia,222,dystopian,32,england,48,english,14,fantasy,22,fiction,542,future,29,futuristic,17,infertility,48,literature,21,made into movie,31,movie,19,mystery,92,novel,83,own,18,post apocalyptic,57,read,59,science fiction,446,sf,55,sff,23,speculative fiction,32,thriller,35,to read,47,unread,42,
After London; or, Wild England,Richard Jefferies,1880s,2,19th century,8,apocalyptic,5,british,3,classic literature,2,dystopian,2,ebook,8,england,5,english,2,english literature,6,fantasy,9,fiction,23,guardian 1000,2,kindle,4,literature,2,london,6,medievalism,3,novel,5,oxford world's classics,4,post apocalyptic,18,read,3,romance,4,science fiction,16,sf,5,sff,3,speculative fiction,3,to read,5,unread,2,utopia,3,wishlist,2,
Bold as Love,Gwyneth Jones,acca winner,2,alternate history,2,arthur c. clarke award,7,bold as love series,3,clarke,2,done,2,dystopia,4,england,5,fantasy,24,fiction,31,first edition,2,hardcover,2,isbn,3,mobi,2,music,2,novel,8,original,2,politics,4,read,4,rock and roll reich,2,rock_and_roll,7,science fiction,33,series,2,sf,16,sff,8,signed,2,speculative fiction,4,to read,4,unread,6,wishlist,6,
The Trial,Franz Kafka,1001,60,1001 books,54,20th century,201,20th century literature,31,absurdism,42,bureaucracy,56,classic,242,classics,164,czech,135,czech literature,101,dystopia,66,existentialism,199,fiction,1,franz kafka,49,german,248,german literature,277,kafka,163,law,45,literature,419,modernism,41,novel,348,own,40,philosophy,69,read,127,roman,97,surrealism,61,to read,80,translated,38,translation,74,unread,77,
Flowers for Algernon,Daniel Keyes,20th century,41,american,42,american literature,45,classic,154,classics,95,disability,43,experiments,38,fiction,820,intelligence,127,literature,64,mental illness,38,mental retardation,38,mice,23,nebula,23,nebula award,36,nebula winner,24,novel,120,own,34,paperback,33,psychology,91,read,140,science,33,science fiction,712,sf,132,sf masterworks,40,sff,22,speculative fiction,29,to read,60,unread,35,young adult,59,
The Shining,Stephen King,,4,#02,1,#2,1,alternate history,1,australian,4,australian author,5,celtic,3,chunkster,1,eileanan,5,fantasy,59,female protagonist,1,fiction,13,gr,1,heroine,1,horses,2,magic,3,mass market,1,novel,3,own,2,owned,2,rhiannon's ride,8,rhiannon's ride series,5,rob,1,science fiction,1,series,7,sff,5,speculative fiction,2,trilogy,3,unread,2,witches,7,
The Victorian Chaise-longue,Marghanita Laski,1950s,9,2011,3,20th century,7,british,5,classic,3,classics,2,england,3,fantasy,7,fiction,60,ghost stories,3,ghosts,2,gothic,2,horror,18,novel,11,novella,4,own,2,penguin,2,persephone,45,persephone books,12,read,4,read in 2008,3,read in 2009,4,time travel,12,to read,4,tuberculosis,3,uk,3,unread,3,victorian,4,wishlist,3,women,3,
Uncle Silas,Joseph Sheridan Le Fanu,1001,11,1001 books,14,19th century,47,19th century literature,9,british,7,british literature,9,classic,14,classics,21,crime,8,ebook,10,england,11,english literature,13,fiction,115,folio society,17,gothic,78,horror,50,ireland,12,irish,13,irish literature,21,le fanu,13,literature,20,mystery,35,novel,35,penguin classics,9,read,8,suspense,7,thriller,6,to read,26,unread,11,victorian,30,
The Earthsea Series,Ursula Le Guin,cassette,1,new age music,1,
The Left Hand of Darkness,Ursula Le Guin,1990s,1,20th century,1,ace,2,audio,2,audio drama,1,audiobook,1,bbv,3,cd,1,doctor who,2,doctor who?,1,drama,1,fiction,1,mark duncan,1,not the doctor but just think of the doctor,1,personal collection,1,science fiction,1,seventh doctor,2,speculative fiction,1,
Solaris,Stanislaw Lem,1001,18,1001 books,25,20th century,25,@others,33,aliens,22,classic,21,fiction,292,lem,22,literature,23,made into movie,19,novel,95,paperback,21,poland,26,polish,74,polish literature,51,psychology,19,read,53,science fiction,784,sf,150,sff,26,solaris,38,space,18,stanisław lem,44,to read,25,translation,35,unread,38,☍,20,☍✓,19,♠♠♥♥♦♦•,29,✓,37,
Memoirs of a Survivor,Doris Lessing,20th century,26,apocalypse,10,autobiography,5,british,12,british literature,5,doris lessing,8,dystopia,33,dystopian,5,england,6,english,8,english literature,9,feminism,4,feminist sf,5,fiction,145,lessing,6,literature,16,memoir,9,nobel,5,nobel prize,11,non fiction,4,novel,31,post apocalyptic,6,read,8,roman,6,science fiction,37,sf,10,speculative fiction,5,to read,18,unread,11,women,5,
The Chronicles of Narnia,CS Lewis,adventure,152,allegory,224,aslan,73,boxed set,65,british,83,c.s. lewis,289,children,346,children's,544,children's books,78,children's fiction,116,children's literature,318,christian,228,christian fiction,111,christianity,228,classic,338,classics,233,fantasy,2,fiction,1,lewis,84,literature,150,magic,152,narnia,456,novel,155,own,135,read,239,religion,193,series,206,sff,91,unread,65,young adult,372,
The Monk,Matthew Lewis,1001,25,1001 books,29,18th century,115,18th century literature,15,19th century,16,british,58,british literature,38,classic,57,classics,63,english,21,english literature,59,fantasy,18,fiction,350,folio society,44,ghosts,14,gothic,322,gothic fiction,32,gothic literature,25,gothic novel,24,horror,144,literature,69,monks,19,murder,13,novel,91,read,30,religion,32,roman,12,spain,27,to read,49,unread,23,
